url,price,rooms,area_m2,floor,district,build_type,renovation,bathroom,heating,condition,techpassport
https://somon.tj/adv/15225636_2-komn-kvartira-5-etazh-61-m2-nokhiiai-rudaki/,450000,2,61.0,5,Рудаки,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Есть
https://somon.tj/adv/15301339_2-komn-kvartira-8-etazh-60-m2-sino/,730000,2,60.0,8,Сино,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15208048_3-komn-kvartira-6-etazh-74-m2-sino/,950000,3,74.0,6,Сино,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15066999_1-komn-kvartira-18-etazh-58-m2-102-mkr-ru-ba-rui-paikar/,373000,1,58.0,18,102 мкр ру ба руи Пайкар,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15067069_1-komn-kvartira-12-etazh-58-m2-102-mkr-zarnisor/,406000,1,58.0,12,102 мкр Зарнисор,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15252633_2-komn-kvartira-6-etazh-54-m2-maschiti-mekhkalon/,650000,2,54.0,6,Масчити Мехкалон,Новостройка,С ремонтом,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15300971_2-komn-kvartira-tsokolnyi-etazh-54-m2-kuchai-aini-58-60/,850000,2,54.0,,кучаи айни 58. 60,Новостройка,Новый ремонт,Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/15178526_2-komn-kvartira-6-etazh-83-m2-shokhmansur/,1218000,2,83.0,6,Шохмансур,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15225331_2-komn-kvartira-6-etazh-54-m2-nokhiiai-rudaki/,440000,2,54.0,6,Нохияи Рудаки,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Есть
https://somon.tj/adv/15289474_3-komn-kvartira-1-etazh-54-m2-sino-32-mkr/,610000,3,54.0,1,Сино 32 мкр,Вторичный рынок,С ремонтом,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/14923440_2-komn-kvartira-2-etazh-43-m2-14-um-ru-pa-rui-kokhi-lokhuti/,410000,2,43.0,3,14 мкр,Новостройка,Новый ремонт,Совмещенный,Нет,Построено,Нет
https://somon.tj/adv/15211056_2-komn-kvartira-3-etazh-65-m2-20mkr/,740000,2,65.0,3,20 мкр,Новостройка,Новый ремонт,Совмещенный,Нет,Построено,Есть
https://somon.tj/adv/14714726_2-komn-kvartira-4-etazh-78-m2-firdavsi/,920000,2,78.0,4,Фирдавсӣ,Новостройка,С ремонтом,Совмещенный,Есть,Построено,Есть
https://somon.tj/adv/11269990_3-komn-kvartira-5-etazh-95-m2-evon-kuchki-a-dzhomi-52/,450000,3,65.0,5,куч. А. Чоми,Вторичный рынок,С ремонтом,Раздельный,Нет,Построено,Есть
https://somon.tj/adv/15287638_2-komn-kvartira-8-etazh-96-m2-ismoil-somoni/,1300000,2,96.0,8,Исмоил Сомони,Новостройка,С ремонтом,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15287587_2-komn-kvartira-8-etazh-45-m2-dustii-khalkkho/,390000,2,45.0,8,Дустии халкхо,Новостройка,Новый ремонт,Раздельный,Нет,На стадии строительства,Нет
https://somon.tj/adv/14127128_2-komn-kvartira-9-etazh-85-m2-14-mkr-khitoibozori-peshina/,479000,2,74.0,8,14 Мкр,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15198368_3-komn-kvartira-1-etazh-65-m2-pavaroti-fabrika/,475000,4,67.0,1,повороти ленинград,Вторичный рынок,Новый ремонт,Раздельный,Нет,Построено,Есть
https://somon.tj/adv/15104715_2-komn-kvartira-3-etazh-63-m2-rudaki/,435000,2,65.0,3,Гардиши Птиц Фабрика,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Нет
https://somon.tj/adv/15266026_3-komn-kvartira-17-etazh-122-m2-sino/,895000,3,122.0,17,Сино,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15274645_3-komn-kvartira-1-etazh-75-m2-18-mikroraion/,580000,3,75.0,1,18 микрорайон,Вторичный рынок,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15180182_2-komn-kvartira-7-etazh-73-m2-8-mikroraion/,585000,2,73.0,7,8 микрорайон,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15285542_3-komn-kvartira-2-etazh-83-m2-firdavsi/,1000001,3,83.0,2,Фирдавси,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Нет
https://somon.tj/adv/14743816_2-komn-kvartira-14-etazh-82-m2-shokhmansur/,420000,2,82.0,14,Шохмансур,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
https://somon.tj/adv/14807314_1-komn-kvartira-8-etazh-69-m2-shokhmansur/,780000,1,70.0,8,Шоҳмансур,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15224062_2-komn-kvartira-10-etazh-49-m2-14-mikraraion/,280000,2,49.0,10,14 микрорайон,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
https://somon.tj/adv/15279368_4-komn-kvartira-9-etazh-96-m2-8mkr/,815000,4,96.0,9,8мкр,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Нет
https://somon.tj/adv/15246888_1-komn-kvartira-7-etazh-47-m2-30mkr/,199000,1,47.0,7,30мкр,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
https://somon.tj/adv/15216475_2-komn-kvartira-7-etazh-45-m2-rudaki/,435000,2,45.0,7,рудаки,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Есть
https://somon.tj/adv/15263196_2-komn-kvartira-3-etazh-61-m2-khamadoni/,240000,2,61.0,3,Ҳамадонӣ,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15301304_3-komn-kvartira-16-etazh-87-m2-sino/,870,3,87.0,16,Сино,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Нет
https://somon.tj/adv/15216077_3-komn-kvartira-13-etazh-108-m2-sino/,1150000,3,108.0,13,Сино,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15216031_2-komn-kvartira-14-etazh-68-m2-sino/,770000,2,68.0,14,Сино,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/14868800_4-komn-kvartira-10-etazh-130-m2-shokhmansur/,1920000,4,130.0,10,Шохмансур,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15000344_3-komn-kvartira-8-etazh-142-m2-sino/,1630000,3,142.0,8,Сино,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15301169_3-komn-kvartira-3-etazh-72-m2-91-mkr-barki-tochik/,890000,3,72.0,3,"91 мкр, Барки Точик",Вторичный рынок,С ремонтом,Совмещенный,Есть,Построено,Есть
https://somon.tj/adv/15076378_2-komn-kvartira-1-etazh-46-m2-firdavsi/,530000,2,46.0,1,Фирдавси,Новостройка,Новый ремонт,Совмещенный,Нет,Построено,Есть
https://somon.tj/adv/15300685_2-komn-kvartira-9-etazh-45-m2-14-makhala/,360000,2,45.0,9,14 маҳала,Новостройка,С ремонтом,Совмещенный,Нет,Построено,Нет
https://somon.tj/adv/14867863_3-komn-kvartira-16-etazh-55-m2-zarnisor-zarafshon-sino/,360000,3,60.0,17,Зарнисор,Вторичный рынок,С ремонтом,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15206669_1-komn-kvartira-3-etazh-30-m2-n-sino-giprazem/,395000,1,30.0,3,Сино,Вторичный рынок,С ремонтом,Совмещенный,Нет,Построено,Есть
https://somon.tj/adv/15292113_2-komn-kvartira-3-etazh-59-m2-1-miroraion/,40000,2,59.0,3,1 мкр,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
https://somon.tj/adv/15262696_2-komn-kvartira-2-etazh-48-m2-sino/,630000,2,48.0,2,Сино,Вторичный рынок,С ремонтом,Раздельный,Есть,Построено,Есть
