price,rooms,area_m2,floor,district,build_type,renovation,bathroom,heating,condition,techpassport
190000,1,42,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
190000,1,52,10,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
190000,1,49,8,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
190000,1,44,2,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
191000,1,46,11,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
192000,2,48,14,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
192000,1,44,13,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
192700,2,44,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
193000,1,47,1,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
193000,1,45,1,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
195000,1,42,6,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
195000,1,48,10,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
195000,1,41,10,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
195000,1,46,9,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Есть
195000,1,42,6,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
195000,1,47,5,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
195000,1,45,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
195000,1,44,5,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
